Orden,Labor Description,Surcursal,Link Typeform,Location,Experience,Education,Description,Numero consecutivo
021879,CHOFER(A),Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Chofer(a),Cuarto año completado,Licencia de conducir de PR categoría 8 o 9]Licencia de la comisión]Disponibilidad de lunes a viernes de 4:00 am a 1:00 pm]Disponibilidad para hacer tiempo extra de ser solicitado]Enviar resume a: angel.vazquez@ctspr.com],24
021893,UTILITY,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Isabela,"Almacén, despacho, mantenimiento, manejo herramientas",Cuarto año completado,"Disponibilidad lunes a sábado 9:00 am a 6:00 pm]Disponiblidad domingos alternos 12:00pm a 5:00 pm]Capacidad para levantar peso de 50 lb.]Ambiente de calor, polvo y estar de pie]Enviar resume a: warren.rodriguez@ctspr.com]",25
021895,UTILITY,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Barranquitas,"Almacén, despacho, mantenimiento, etc.",Cuarto año completado,Disponibilidad de lunes a sábado 9:00 am a 6:00 pm]Capacidad para levantar peso de 50lb]Capacidad para manejar múltiples tareas]Capacidad para trabajar en ambiente de calor y polvo]Enviar resume a: warren.rodriguez@ctspr.com],26
021908,OFICINISTA DE ALMACEN,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,1 año de experiencia como oficinista de almacén,Escuela superior completada,Experiencia en logística]Experiencia redactando informes]Experiencia en control de calidad]Dominio del idioma inglés]Manejo y conteo de inventario]Manejo de los programas MS Office]Disponible lunes a viernes 8:00am - 5:00pm]Enviar resume a: sonia.lugo@ctspr.com],27
021909,OPERADOR(A) MENSAJERO(A) ALMACEN,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Almacén y despacho,Cuarto año completado,Identificar y paletizar materiales]Control de calidad]Manejo e inspección de montacargas]Manejo de inventario]Gestiones de mensajería]Enviar resume a: sonia.lugo@ctspr.com],28
021798,MANTENIMIENTO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Manatí,Mantenimiento y pulido de piso,Cuarto año completado,Tiempo parcial 20 a 24 horas semanales]Disponibilidad domingo a sábado desde 7:00 am a 9:00 pm]Enviar resume a: anais.galan@ctspr.com],29
021624,PRODUCTION OPERATOR I,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Dorado,Manufactura (medical device),Cuarto año completado,"Disponibilidad 1ro, 2do, 3ro y 4to turno]Destrezas y agilidad manual]Destrezas matemáticas]Comprensión inglés]Enviar resume a: anais.galan@ctspr.com]",30
021104,SANITATION WORKER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere experiencia,Cuarto año completado,"Disponibilidad lunes a vienres, 3 turnos]Vacunas de Hepatitis B]Capacidad para levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com]",31
021482,SANITATION WORKER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere,Cuarto año completado,"Disponibilidad 1ro, 2do y 3er turno]Disponible para levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com]",32
021627,GENERAL HELPER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere experiencia,Cuarto año completado,Disponibilidad completa lunes a domingo]Sujeto a cambio de turno]Habilidad para levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com],33
021737,GENERAL HELPER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere experiencia,Cuarto año completado,Disponibilidad de lunes a domingo]Sujeto a cambio de turno]Habilidad para levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com],34
021819,SHIPPING CLERK,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Previa en puesto,Cuarto año completado,Disponibilidad de lunes a domingo]Capaz de levantar material pesado]Destrezas matemáticas]Sujeto a cambio de turno]Enviar resume a: angel.vazquez@ctspr.com],35
021820,GENERAL HELPER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere experiencia,Cuarto año completado,Disponibilidad de lunes a domingo]Sujeto a cambios de turnos]Capaz de levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com],36
021821,SANITATION WORKER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere experiencia,Cuarto año completado,Disponibilidad de lunes a domingo]Vacunas de Hepatitis B]Capaz de levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com],37
021823,DELIVERY,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Chofer(a),Cuarto año completado,"Dominio de transmisión manual]Destrezas de servicio al cliente]Disponibilidad completa lunes a domingo, 3 turnos]Enviar resume a: angel.vazquez@ctspr.com]",38
021889,GENERAL HELPER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,No requiere experiencia,Cuarto año completado,"Disponibilidad de lunes a domingo, 3 turnos]Sujeto a cambios de turnos]Capaz de levantar material pesado]Enviar resume a: angel.vazquez@ctspr.com]",39
021890,MECANICO(A) INDUSTRIAL,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Mantenimiento preventivo y PLC,Grado Asociado en Mecánica Industrial,"Disponibilidad de lunes a domingo, 3 turnos]Horario sujeto a cambios]Enviar resume a: angel.vazquez@ctspr.com]",40
021903,GERENTE DE PROYECTO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Gerencia y planificación de proyectos,Bachillerato en Ingeniería Eléctrica o Mecánica,"Manejo de herramientas y métricas de proyectos]Bilingüe]Dominio de sistemas como MS Office 365 & Zoho]Licencia de conducir de PR vigente]Excelente comunicación y habilidades interpersonales]Trabajo en equipo y buena actitud]Organización, detalle y proactividad]Disponibilidad inmediata]Disponibilidad de lunes a viernes de 7:00 am a 4:00 pm]Incluye fines de semana y horas extras según necesidad]Enviar resume a: angel.vazquez@ctspr.com]",41
021904,SUPERVISOR DE PROYECTOS,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Supervisión y áreas técnicas,"Bachillerato Ing. Mecánica, Eléctrica o Administración","Cumple con el Programa de Liderazgo]Licencia de conducir de PR vigente, preferible cat. 6]Excelente comunicación y habilidades interpersonales]Capacidad de liderazgo, mentoría y manejo de personal]Trabajo en equipo y buena actitud]Organización, detalle y proactividad]Manejo de herramientas mecánicas y especializadas]Capacidad física para levantar peso]Uso adecuado de equipo de protección personal (EPP)]Habilidades analíticas y de resolución de problemas]Disponibilidad de lunes a viernes de 7:00 am a 4:00 pm]Diponible para trabajar fuera de horario regular]Puesto exento]Enviar resume a: angel.vazquez@ctspr.com]",42
021464,CUSTOMER SERVICE,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,"Servicio al cliente, canalizar llamadas, MS Office",Grado doce completado,Bilingüe (español e inglés)]Disponibilidad lunes a viernes de 8:00 am a 5:00 pm]Enviar resume: a anais.galan@ctspr.com],43
021829,CHOFER(A) GRUTA,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Conduciendo la gruta,Cuarto año completado,Licencia de conducir PR categoría 9]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: anais.galan@ctspr.com],44
021824,OPERATOR,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Manufactura (medical device),Grado doce completado,"Destrezas y agilidad manual, uso de microscopio]Bilingüe (español e inglés)]Disponibilidad 1ro, 2do y 3er turno]Enviar resume a: jose.pagan@ctspr.com]",45
021888,OPERATOR,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Manufactura (medical device),Cuarto año completado,"Destrezas y agilidad manual, uso de microscopio]Bilingüe (español e inglés)]Disponibilidad 1ro, 2do y 3er turno]Enviar resume a: jose.pagan@ctspr.com]",46
021701,OPERATOR I,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Barceloneta,Manufactura (medical device),Cuarto año completado,"Destrezas y agilidad manual, uso de microscopio]Bilingüe (español e inglés)]Disponibilidad 1ro, 2do y 3er turno]Enviar resume: jose.pagan@ctspr.com]",47
021852,MOLD SET UP,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Baja,Mínima 6 meses como Mold Set Up,Cuarto año completado,"Injection molding, hidráulica, eléctrica, calipers, etc]Disponibilidad 2do y 3er turno]Enviar resume a: fabiola.maldonado@ctspr.com]",48
021874,MATERIAL HANDLER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Baja,"Manejo de materiales, almacén, etc",Cuarto año completado,Disponibilidad 1ro y 2do turno]Enviar resume a: fabiola.maldonado@ctspr.com],49
021868,FRONT DESK,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Mínimo 1 año en recepción o servicio al cliente,Cuarto año completado,Disponibilidad lunes a domingo 6:00am a 3:00pm o 3:00 pm a 12:00 am]Bilingüe intermedio/avanzado]Buena presencia y buenas relaciones interpersonales]Manejo de sistemas de computadoras]Enviar resume a sonia.lugo@ctspr.com],50
021863,RECEIVING CLERK,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,"Almacén, manejo de montacargas",Cuarto año completado,Licencia de conducir de PR vigente]Capacidad para levantar peso de hasta 55 lb.]Capacidad para trabajar en ambiente de calor]Disponibilidad lunes a viernes]Enviar resume a: sonia.lugo@ctspr.com],51
021760,EMPLEADO DE SANEAMIENTO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,"Mantenimiento, altura y espacios confinados",Cuarto año completado,Disponible para trabajar horas extra y fines de semana]Disponible para horas extra y fines de semana]Habilidad para levantar peso]Habilidad para trabajar en calor y polvo]Enviar resume a: sonia.lugo@ctspr.com],52
021767,ASISTENTE DE MANEJO SR,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Manatí,"Mínimo 5 años en construcción, soldadura y mecánica",Grado asociado o técnico en área relacionada,Licencia de conducir de PR vigente categoria 9]Licencia de la comisión vigente]Habilidad para levantar peso]Disponibilidad lunes a viernes]Enviar resume a: sonia.lugo@ctspr.com],53
021875,ASISTENTE DE MANEJO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Manatí,Mantenimiento de áreas verdes,Cuarto año completado,Manejo de trimmer]Habilidad para trabajar bajo sol y calor]Habilidad para levantar peso]Licencia de conducir de PR vigente]Disponibilidad lunes a sabado]Enviar resume a: sonia.lugo@ctspr.com],54
021817,ASISTENTE ADMINISTRATIVA(O),Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Toa Baja,Mínimo 1 a 2 años puesto similiar,Grado Asociado o Bachillerato en Sistemas de Oficina,Inglés intermedio]Manejo de Ahorro Xpress]Manejo de órdenes y facturación]Buenas relaciones interpersonales]Responsable y organizada(o)]Manejo de archivos físicos y electrónicos]Atención al detalle]Experiencia en servicio al cliente]Capacidad para trabajar bajo presión y en equipo]Actitud de servicio y disposición para aprender]Disponibilidad lunes a viernes]Enviar resume a: sonia.lugo@ctspr.com],55
021854,CALIDAD,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Barceloneta,Laboratorio o industria de alimentos,Grado Asociado en Ciencias o área relacionada,"Disponibilidad 1ro, 2do y 3er turno]Enviar resume a: sonia.lugo@ctspr.com]",56
021827,OPERADOR(A) ALMACEN,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Morovis,"Almacén, montacargas, carga y descarga de vagones",Cuarto año completado,"Disponibilidad lunes a sábado, 1ro y 2do turno]Enviar resume a: warren.rodriguez@ctspr.com]",57
021388,PROMOTOR(A) INVASIONES,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Ventas y servicio al cliente,Cuarto año completado,Excelentes destrezas de comunicación y negociación]Disponibilidad lunes a sábado 9:00 am a 6:00 pm]Enviar resume a: warren.rodriguez@ctspr.com],58
021876,AYUDANTE DE TECNICO DE REFRIGERACION,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Manatí,No requiere experiencia,Cuarto año completado,"Disponibilidad lunes a viernes y algunos sábados]Conocimiento básico en el manejo de herramientas]Habilidad para trabajar en equipo]Buena presencia, responsable]Licencia de conducir de PR vigente]Enviar resume a: sonia.lugo@ctspr.com]",59
021786,ASISTENTE DE PROYECTO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,"13 años en proyectos soldadura, plomería o instalación",Cuarto año completado,Conocimiento proceso de producción piezas metálicas]Certificación OSHA]Enviar resume a: sonia.lugo@ctspr.com],60
021810,TORNERO(A),Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,"Torno, mecanizado, herramientas de corte y control",No estudios requeridos (experiencia requerida),Capacidad para interpretar planos técnicos]Disponible lunes a viernes y algunos sabádos]Disponible a trabajar horas extra]Enviar resume a: sonia.lugo@ctspr.com],61
021812,SANDBLASTERO(A),Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Tareas de  sandblasting ,Cuarto año completado,Conocimiento técnico en abrasivos y presión de aire]Habilidad para trabajar en ambientes industriales o de construcción]Atención al detalle]Compromiso con la seguridad]Disponibilidad lunes a viernes y horas extra]Enviar resume a: sonia.lugo@ctspr.com],62
021813,MECANICO(A) INDUSTRIAL,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Mecánica industrial,No requiere estudios (experiencia requerida),Habilidades mecánicas]Reparación de bombas centrífugas]Reparación de cilindros neumáticos e hidráulicos]Disponibilidad lunes a viernes y horas extra]Enviar resume a: sonia.lugo@ctspr.com],63
021766,QA /QC OFFICER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Mínimo 8 años en calidad,Bachillerato en Ingeniería o campo relacionado,"Conocimiento de calidad en industria de construcción]Manejo de proyectos en gran escala]Inglés nivel de negocios]Manejo MS Office, Auto CAD, ISO 9000]Pasaporte vigente, disponible para viajar fuera de PR]Disponibilidad lunes a viernes 8:00 am a 5:00 pm]Enviar resume a: angel.vazquez@ctspr.com]",64
021841,SAFETY OFFICER,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Arecibo,Mínimo 4 años en seguridad de construcción,Bachillerato en Ingeniería o Higiene Industrial,"Certificación OSHA]Conocimiento de legislación OSHA/EPA]Manejo de reportes, políticas y evaluaciones de riesgos]Disponibilidad de lunes a viernes de 8:00 am a 5:00 pm]Certificación CPR(Primeros auxilios)]Manejo de Microsoft Office]Bilingüe]Disponibilidad para viajar]Pasaporte requerido]Enviar resume a: angel.vazquez@ctspr.com]",65
021832,DESPACHO,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Almacén área de despacho,Cuarto año completado,"Disponible para realizar esfuerzo físico]Disponiblidad lunes a viernes, 1ro y 2do turno]Enviar resume a: anais.galan@ctspr.com]",66
021870,EMPLEADO(A) GENERAL,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Vega Alta,Tareas de construcción liviana (handyperson),Cuarto año completado,"Tareas: plomería, electricidad, pintura o áreas verdes]Disponibilidad de lunes a viernes de 8:00 am a 5:00 pm]Enviar resume a: angel.vazquez@ctspr.com]",67
021862,TECNICO(A) DE CELULARES,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Hatillo,Reparación de computadoras o celulares,Grado técnico en reparación de celulares o similar,"Instalación programas, conocimiento hardware y software]Capacidad para trabajar de pie]Excelentes destrezas de comunicación]Enviar resume a: warren.rodriguez@ctspr.com]",68
021700,OPERADOR(A) MANUFACTURA,Barceloneta,https://ctspr.typeform.com/to/gKcgZqXM,Barceloneta,Producción,Cuarto año completado,"Capacidad para trabajar en ambiente de calor y polvo]Capacidad para levantar 50 lb.]Disponibilidad lunes a viernes, 1er turno]Enviar resume a: warren.rodriguez@ctspr.com]",69
